Rank,Title,Link,Abstract
1,Project MATCH: Rationale and methods for a multisite clinical trial matching patients to alcoholism treatment,https://ohsu.elsevierpure.com/en/publications/project-match-rationale-and-methods-for-a-multisite-clinical-tria-2,"Interaction effects with selected patient characteristics will be studied. Project MATCH will provide a rigorous test of the utility of patient-treatment matching in general and, depending on"
2,DeepEnroll: patient-trial matching with deep embedding and entailment prediction,https://dl.acm.org/doi/abs/10.1145/3366423.3380181,We evaluated DeepEnroll on both real world clinical trial dataset and a synthetic data. We evaluated the patient-trial matching via predicting patient enrollment for trials. DeepEnroll
3,COMPOSE: Cross-modal pseudo-siamese network for patient trial matching,https://dl.acm.org/doi/abs/10.1145/3394486.3403123,"To enable the patienttrial matching task, we also learn effective patient representation from patient data (eg, EHR) by using memory network. In this work, we developed a hierarchical"
4,Evaluation of an artificial intelligence clinical trial matching system in Australian lung cancer patients,https://academic.oup.com/jamiaopen/article-abstract/3/2/209/5827849,"(per patient median 74, range 53100) against 11 467 individual trial eligibility criteria (per trial  On a per-patient basis, the performance of the trial matching system for eligibility was as"
5,Automated classification of eligibility criteria in clinical trials to facilitate patient-trial matching for specific patient populations,https://academic.oup.com/jamia/article-abstract/24/4/781/3038205,"for patient-trial matching and  matching systems, eg, those by Ni et al., 11 , 12 Sahoo et al., 13 and Miotto and Weng, 14 rely on data from clinical trial records and individual patient data"
6,User-centered research on breast cancer patient needs and preferences of an Internet-based clinical trial matching system,https://www.jmir.org/2007/2/e13/UR,Background: Internet-based clinical trial matching systems have the potential to  patients perceive and interact with a preliminary version of an Internet-based clinical trial matching
7,Impact of a cognitive computing clinical trial matching system in an ambulatory oncology practice.,https://ascopubs.org/doi/abs/10.1200/JCO.2018.36.15_suppl.6550,Systemic therapy trials enrolling breast cancer patients were  trial matches on the day prior to patient clinic visits. They gave the oncology providers a list of matched trials for each patient
8,Clinical performance pilot using cognitive computing for clinical trial matching at Mayo Clinic.,https://ascopubs.org/doi/abs/10.1200/JCO.2018.36.15_suppl.e18598,Using trial eligibility criteria and filters for patient setting (metastatic vs. non- patients as potentially eligible or ineligible for each protocol. Time to complete this review per patient was
9,Overcoming barriers to clinical trial participation: Outcomes of a national clinical trial matching and navigation service for patients with a blood cancer,https://ascopubs.org/doi/abs/10.1200/OP.20.01068,"a free, national clinical trial matching and nurse navigation service for patients with a  patients with closed cases, the clinical trial enrollment rate was 16.1%. Among those who had a trial"
10,Outcomes of a cancer clinical trial matching service,https://link.springer.com/article/10.1007/s13187-011-0296-x,"(approximately triple the national average), based on our available data, we cannot determine the extent to which the CTMS motivated patients to ask their physicians about other trial"
11,Learnings from precision clinical trial matching for oncology patients who received NGS testing,https://ascopubs.org/doi/abs/10.1200/CCI.20.00142,"trial matching at the Vanderbilt-Ingram Cancer Center (VICC), an NCI-designated Comprehensive Cancer Center in Nashville, TN. Augmented trial matching  clinical trial matching study"
12,Towards Fair Patient-Trial Matching via Patient-Criterion Level Fairness Constraint,https://arxiv.org/abs/2303.13790,Patient-Trial matching: We define the patient-trial matching task as a binary classification  a patient P is qualified for a clinical trial C. A patient P is considered eligible for a clinical trial C
13,Neural query synthesis and domain-specific ranking templates for multi-stage clinical trial matching,https://dl.acm.org/doi/pdf/10.1145/3477495.3531853,the patients who miss out on the potential health benefits from such clinical interventions.  trial matching problem we consider can be described as such: Given a patient and the patients
14,TREEMENT: Interpretable Patient-Trial Matching via Personalized Dynamic Tree-Based Memory Network,https://arxiv.org/abs/2307.09942,"depend on trial-specific expert rules that cannot expand to other trials or perform matching at a  To provide accurate and interpretable patient trial matching, we introduce a personalized"
15,Cognitive technology addressing optimal cancer clinical trial matching and protocol feasibility in a community cancer practice.,https://ascopubs.org/doi/abs/10.1200/jco.2017.35.15_suppl.6501,the clinical trial matching process. This solution helps providers locate suitable protocols for  patients by reading the trial criteria and matching it to the structured and unstructured patient
16,clinical trial recruitment: a protocol for the development and preliminary testing of an online prostate cancer health information and clinical trial matching tool,https://pilotfeasibilitystudies.biomedcentral.com/articles/10.1186/s40814-019-0516-4,Trial Library is designed to be an Internet-based cancer clinical trial matching tool that enables patients to view information about prostate cancer clinical trials for which they may be
17,"Adoption, acceptability, and accuracy of an online clinical trial matching website for breast cancer",https://www.jmir.org/2012/4/e97/,Patients who wish to use this or other clinical trial matching websites should keep copies of their medical records so that they can enter a profile that will facilitate their gaining access to
18,Integration of electronic pathology reporting with clinical trial matching for advanced prostate cancer,https://www.sciencedirect.com/science/article/pii/S1078143920306396,trial matching tool (called Trial Library) used in combination with e-path to improve matching of underrepresented patients  that clinical trial information is seldom accessed by patients.
19,Implementation of artificial intelligence (AI) for lung cancer clinical trial matching in a tertiary cancer center,https://www.annalsofoncology.org/article/S0923-7534(19)30153-X/abstract,trial matches on the day prior to patient clinic visits. A list of matched trials for each patient was  Results: Watson for CTM facilitated screening of all lung cancer patients against 42 trials.
20,Scaling Clinical Trial Matching Using Large Language Models: A Case Study in Oncology,https://arxiv.org/abs/2308.02180,amount of training data of known patient-trial matches (or patient-criteria matches) and their  trial eligibility criteria and Pstructured denote that of a patient. Then clinical trial matching
21,Analysis of not structurable oncological study eligibility criteria for improved patient-trial matching,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0041-1724107,Background Higher enrolment rates of cancer patients into  matching of patient characteristics with clinical trial eligibility  The necessity of a partially manual patient trial matching is
22,Artificial intelligence for clinical trial design,https://www.cell.com/trends/pharmacological-sciences/fulltext/S0165-6147(19)30130-0?dgcid=raven_jbs_etoc_email,"trial databases for improved patienttrial matching and recruitment before a trial starts, as well as for monitoring patients automatically and continuously during the trial, thereby allowing"
23,LLM for Patient-Trial Matching: Privacy-Aware Data Augmentation Towards Better Performance and Generalizability,https://arxiv.org/abs/2303.16756,"Throughout the model optimization process, we aim to maximize patient-trial matching while explicitly addressing the differences between inclusion and exclusion criteria. To achieve"
24,Patient trial matching using pseudo-siamese network.,https://ascopubs.org/doi/abs/10.1200/JCO.2020.38.15_suppl.e14050,for at least one trial. We compared our model with leading pt-trial matching models. Our model  We therefore propose a new pt-trial matching model based on Pseudo-Siamese network
25,Increasing the efficiency of trial-patient matching: automated clinical trial eligibility pre-screening for pediatric oncology patients,https://link.springer.com/article/10.1186/s12911-015-0149-3,"Without automation, an oncologist would need to review 42 trials per patient on average to replicate the patient-trial matches that occur in the retrospective data set. With automated ES"
26,Biomarker enrichment strategies: matching trial design to biomarker credentials,https://www.nature.com/articles/nrclinonc.2013.218,of biomarker-positive patients. This Review considers which clinical trial designs and analysis  that the biomarker can successfully identify patients who will respond to the treatment in
27,The impact of matching the patient's vocabulary: a randomized control trial,https://academic.oup.com/fampra/article-abstract/21/6/630/508710,"and patients, 1 3 no studies have examined the impact of matched versus unmatched vocabulary on patient  the impact of matched and unmatched vocabulary on patient satisfaction. It"
